Year,FIPS County Code,County Name,DHS Service Area,Judicial District,Disposition,Reports,Unique Children,Duplicate Children,County Primary Point,US Counties,Iowa Watersheds (HUC 10),Iowa Watershed Sub-Basins (HUC 08),Iowa ZIP Code Tabulation Areas
2004,19001,Adair,6-Des Moines,5-FifthJD,Confirmed,10,13,15,"(41.3307464, -94.4709413)",174,469,47,474
2004,19001,Adair,6-Des Moines,5-FifthJD,Founded,11,15,15,"(41.3307464, -94.4709413)",174,469,47,474
2004,19001,Adair,6-Des Moines,5-FifthJD,Unconfirmed,16,21,24,"(41.3307464, -94.4709413)",174,469,47,474
2004,19003,Adams,6-Des Moines,5-FifthJD,Confirmed,6,7,7,"(41.0289839, -94.6991849)",1364,475,48,1
2004,19003,Adams,6-Des Moines,5-FifthJD,Founded,6,9,9,"(41.0289839, -94.6991849)",1364,475,48,1
2004,19003,Adams,6-Des Moines,5-FifthJD,Unconfirmed,8,10,10,"(41.0289839, -94.6991849)",1364,475,48,1
2004,19005,Allamakee,3-Dubuque,1-First JD,Confirmed,10,13,13,"(43.2842838, -91.3780923)",1365,33,3,371
2004,19005,Allamakee,3-Dubuque,1-First JD,Founded,13,21,28,"(43.2842838, -91.3780923)",1365,33,3,371
2004,19005,Allamakee,3-Dubuque,1-First JD,Unconfirmed,40,44,59,"(43.2842838, -91.3780923)",1365,33,3,371
2004,19007,Appanoose,7-Cedar Rapids,8-Eigth JD,Confirmed,6,4,7,"(40.7431635, -92.8686104)",175,534,54,210
2004,19007,Appanoose,7-Cedar Rapids,8-Eigth JD,Founded,80,114,138,"(40.7431635, -92.8686104)",175,534,54,210
2004,19007,Appanoose,7-Cedar Rapids,8-Eigth JD,Unconfirmed,87,96,137,"(40.7431635, -92.8686104)",175,534,54,210
2004,19009,Audubon,5-Council Bluffs,4-FourthJD,Confirmed,3,2,3,"(41.6845893, -94.9058222)",1366,259,44,498
2004,19009,Audubon,5-Council Bluffs,4-FourthJD,Founded,11,15,15,"(41.6845893, -94.9058222)",1366,259,44,498
2004,19009,Audubon,5-Council Bluffs,4-FourthJD,Unconfirmed,16,23,25,"(41.6845893, -94.9058222)",1366,259,44,498
2004,19011,Benton,7-Cedar Rapids,6-SixthJD,Confirmed,13,13,14,"(42.0801864, -92.0656912)",1367,248,18,804
2004,19011,Benton,7-Cedar Rapids,6-SixthJD,Founded,97,110,136,"(42.0801864, -92.0656912)",1367,248,18,804
2004,19011,Benton,7-Cedar Rapids,6-SixthJD,Unconfirmed,145,167,211,"(42.0801864, -92.0656912)",1367,248,18,804
2004,19013,Black Hawk,2-Waterloo,1-First JD,Confirmed,104,123,154,"(42.4700957, -92.3088197)",176,246,18,718
2004,19013,Black Hawk,2-Waterloo,1-First JD,Founded,463,610,705,"(42.4700957, -92.3088197)",176,246,18,718
2004,19013,Black Hawk,2-Waterloo,1-First JD,Unconfirmed,1131,1193,1757,"(42.4700957, -92.3088197)",176,246,18,718
2004,19015,Boone,6-Des Moines,2-Second JD,Confirmed,16,24,24,"(42.0365493, -93.931671)",1368,313,25,859
2004,19015,Boone,6-Des Moines,2-Second JD,Founded,43,67,67,"(42.0365493, -93.931671)",1368,313,25,859
2004,19015,Boone,6-Des Moines,2-Second JD,Unconfirmed,153,156,210,"(42.0365493, -93.931671)",1368,313,25,859
2004,19017,Bremer,2-Waterloo,2-Second JD,Confirmed,13,17,18,"(42.7745873, -92.3180548)",177,91,8,6
2004,19017,Bremer,2-Waterloo,2-Second JD,Founded,41,55,60,"(42.7745873, -92.3180548)",177,91,8,6
2004,19017,Bremer,2-Waterloo,2-Second JD,Unconfirmed,112,133,161,"(42.7745873, -92.3180548)",177,91,8,6
2004,19019,Buchanan,3-Dubuque,1-First JD,Confirmed,11,11,13,"(42.4707777, -91.8378392)",1369,95,8,270
2004,19019,Buchanan,3-Dubuque,1-First JD,Founded,61,81,96,"(42.4707777, -91.8378392)",1369,95,8,270
2004,19019,Buchanan,3-Dubuque,1-First JD,Unconfirmed,81,93,109,"(42.4707777, -91.8378392)",1369,95,8,270
2004,19021,Buena Vista,1-Sioux City,3-Third JD,Confirmed,7,8,8,"(42.7354936, -95.151149)",178,323,27,15
2004,19021,Buena Vista,1-Sioux City,3-Third JD,Founded,51,71,77,"(42.7354936, -95.151149)",178,323,27,15
2004,19021,Buena Vista,1-Sioux City,3-Third JD,Unconfirmed,71,79,97,"(42.7354936, -95.151149)",178,323,27,15
2004,19023,Butler,2-Waterloo,2-Second JD,Confirmed,9,11,11,"(42.7315661, -92.7901934)",1370,228,17,639
2004,19023,Butler,2-Waterloo,2-Second JD,Founded,26,38,47,"(42.7315661, -92.7901934)",1370,228,17,639
